id_incidente,anio,mes,dia_semana,estacion,momento_dia,pais,tipo_area,densidad_poblacion_por_km2,tipo_delito,puntaje_severidad_delito,cantidad_victimas,genero_victima,grupo_edad_victima,lesiones_reportadas,fallecidos,perdida_financiera_usd,arma_utilizada,mes_nombre,inconsistencia_victimas,perdida_atipica,nivel_severidad
CRM0000001,2022,7,Miércoles,Invierno,Tarde (12pm-6pm),Alemania,Remoto,16,Vandalismo,2.7,3,Femenino,65+,0,0,114.41,Arma de Fuego,Julio,False,False,Baja
CRM0000002,2024,4,Domingo,Otoño,Noche (10pm-2am),Pakistán,Rural,252,Fraude,3.5,1,Femenino,26-35,0,0,19729.14,Arma Blanca,Abril,False,True,Media
CRM0000003,2023,2,Martes,Primavera,Tarde (12pm-6pm),Estados Unidos,Rural,136,Asalto,5.7,1,Femenino,18-25,1,0,134.53,Arma de Fuego,Febrero,False,False,Media
CRM0000004,2023,5,Sábado,Otoño,Anochecer (6pm-10pm),India,Rural,354,Robo,7.0,1,Masculino,18-25,3,0,149.66,Desconocido,Mayo,False,False,Alta
CRM0000005,2021,11,Sábado,Primavera,Tarde (12pm-6pm),México,Urbano,817,Allanamiento,4.6,1,Masculino,65+,0,0,5397.57,Sin Arma Registrada,Noviembre,False,True,Media
CRM0000006,2021,11,Martes,Invierno,Mañana (6am-12pm),Australia,Remoto,17,Hurto,2.5,2,Femenino,36-45,0,0,321.12,Sin Arma Registrada,Noviembre,False,False,Baja
CRM0000007,2020,3,Sábado,Verano,Noche (10pm-2am),Indonesia,Remoto,24,Cibercrimen,3.2,1,Femenino,65+,0,0,660.68,Vehículo,Marzo,False,False,Baja
CRM0000008,2024,9,Domingo,Invierno,Noche (10pm-2am),Pakistán,Suburbano,990,Hurto,4.6,1,Femenino,18-25,0,0,808.52,Vehículo,Septiembre,False,False,Media
CRM0000009,2023,6,Lunes,Primavera,Tarde (12pm-6pm),Brasil,Suburbano,205,Homicidio,8.6,1,Femenino,26-35,2,1,4335.77,Sin Arma Registrada,Junio,False,True,Alta
CRM0000010,2023,1,Sábado,Invierno,Mañana (6am-12pm),Pakistán,Urbano,3084,Fraude,4.2,2,Femenino,26-35,0,0,3428.6,Sin Arma Registrada,Enero,False,True,Media
CRM0000011,2020,3,Jueves,Primavera,Noche (10pm-2am),India,Suburbano,563,Hurto,2.6,1,Femenino,26-35,0,0,442.74,Sin Arma Registrada,Marzo,False,False,Baja
CRM0000012,2024,12,Sábado,Verano,Madrugada (2am-6am),Sudáfrica,Remoto,16,Robo,7.4,1,Masculino,26-35,0,0,999.04,Sin Arma Registrada,Diciembre,False,False,Alta
CRM0000013,2024,4,Viernes,Invierno,Anochecer (6pm-10pm),Pakistán,Urbano,364,Robo,7.5,2,Femenino,36-45,3,1,1242.1,Arma Blanca,Abril,False,False,Alta
CRM0000014,2021,9,Jueves,Invierno,Noche (10pm-2am),India,Urbano,9032,Allanamiento,4.6,1,Masculino,46-55,0,0,98.7,Arma de Fuego,Septiembre,False,False,Media
CRM0000015,2021,11,Sábado,Verano,Mañana (6am-12pm),Alemania,Urbano,1596,Agresión Sexual,8.8,1,Desconocido,65+,3,0,658.83,Sin Arma Registrada,Noviembre,False,False,Alta
CRM0000016,2021,6,Miércoles,Verano,Noche (10pm-2am),Sudáfrica,Suburbano,221,Allanamiento,6.2,2,Desconocido,56-65,0,0,349.64,Desconocido,Junio,False,False,Media
CRM0000017,2021,4,Viernes,Invierno,Noche (10pm-2am),India,Suburbano,264,Robo,7.1,5,Femenino,26-35,3,1,436.99,Sin Arma Registrada,Abril,False,False,Alta
CRM0000018,2022,1,Miércoles,Invierno,Noche (10pm-2am),Nigeria,Suburbano,501,Hurto,3.8,2,Masculino,46-55,0,0,103.87,Objeto Contundente,Enero,False,False,Media
CRM0000019,2022,8,Domingo,Verano,Noche (10pm-2am),Canadá,Urbano,1884,Robo,7.5,1,Femenino,36-45,3,0,273.23,Arma de Fuego,Agosto,False,False,Alta
CRM0000020,2021,11,Domingo,Otoño,Noche (10pm-2am),Pakistán,Rural,68,Secuestro,7.4,1,Femenino,36-45,1,0,226.93,Objeto Contundente,Noviembre,False,False,Alta
CRM0000021,2023,2,Viernes,Primavera,Madrugada (2am-6am),Canadá,Remoto,27,Hurto,4.2,2,Masculino,56-65,0,0,1597.06,Desconocido,Febrero,False,False,Media
CRM0000022,2020,11,Viernes,Primavera,Tarde (12pm-6pm),Australia,Urbano,1445,Hurto,4.4,1,Femenino,18-25,0,0,699.72,Sin Arma Registrada,Noviembre,False,False,Media
CRM0000023,2021,11,Sábado,Primavera,Noche (10pm-2am),Reino Unido,Urbano,485,Violencia Doméstica,6.9,2,Femenino,56-65,0,0,4.61,Sin Arma Registrada,Noviembre,False,False,Alta
CRM0000024,2022,8,Jueves,Invierno,Madrugada (2am-6am),India,Rural,142,Homicidio,8.6,3,Masculino,26-35,2,3,72.41,Sustancia Química,Agosto,False,False,Alta
CRM0000025,2022,6,Sábado,Otoño,Tarde (12pm-6pm),Egipto,Rural,56,Homicidio,9.9,1,Masculino,46-55,0,1,229.47,Arma Blanca,Junio,False,False,Alta
CRM0000026,2023,8,Martes,Primavera,Noche (10pm-2am),Reino Unido,Suburbano,307,Delito de Drogas,5.4,1,Masculino,26-35,0,0,35.56,Sin Arma Registrada,Agosto,False,False,Media
CRM0000027,2021,6,Miércoles,Otoño,Mañana (6am-12pm),Pakistán,Rural,58,Fraude,4.1,2,Masculino,65+,0,0,7975.52,Sin Arma Registrada,Junio,False,True,Media
CRM0000028,2022,5,Martes,Otoño,Tarde (12pm-6pm),Pakistán,Suburbano,374,Delito de Drogas,5.2,2,Masculino,18-25,0,0,121.28,Objeto Contundente,Mayo,False,False,Media
CRM0000029,2023,5,Jueves,Otoño,Noche (10pm-2am),Francia,Rural,48,Incendio Provocado,8.1,1,Desconocido,46-55,5,1,222.77,Sin Arma Registrada,Mayo,False,False,Alta
CRM0000030,2020,10,Jueves,Otoño,Tarde (12pm-6pm),Nigeria,Suburbano,361,Hurto,4.5,2,Femenino,36-45,0,0,46.35,Desconocido,Octubre,False,False,Media
CRM0000031,2023,10,Sábado,Primavera,Anochecer (6pm-10pm),Canadá,Urbano,4480,Robo,7.1,1,Masculino,26-35,1,0,259.25,Arma de Fuego,Octubre,False,False,Alta
CRM0000032,2021,11,Lunes,Verano,Mañana (6am-12pm),México,Rural,199,Violencia Doméstica,5.7,1,Masculino,46-55,0,0,25.34,Desconocido,Noviembre,False,False,Media
CRM0000033,2020,8,Lunes,Verano,Anochecer (6pm-10pm),Sudáfrica,Suburbano,205,Hurto,3.9,1,Masculino,36-45,0,0,204.94,Sin Arma Registrada,Agosto,False,False,Media
CRM0000034,2024,7,Miércoles,Invierno,Anochecer (6pm-10pm),Egipto,Suburbano,544,Vandalismo,3.8,1,Masculino,Menor de 18,0,0,50.41,Sin Arma Registrada,Julio,False,False,Media
CRM0000035,2024,8,Domingo,Invierno,Noche (10pm-2am),Reino Unido,Suburbano,661,Asalto,5.5,1,Femenino,26-35,1,0,189.63,Arma de Fuego,Agosto,False,False,Media
CRM0000036,2024,12,Domingo,Verano,Noche (10pm-2am),Nigeria,Urbano,1827,Asalto,7.4,1,Desconocido,46-55,1,0,286.15,Sin Arma Registrada,Diciembre,False,False,Alta
CRM0000037,2021,8,Martes,Verano,Mañana (6am-12pm),Canadá,Suburbano,292,Agresión Sexual,8.4,5,Femenino,18-25,1,0,68.55,Arma de Fuego,Agosto,False,False,Alta
CRM0000038,2020,7,Sábado,Verano,Tarde (12pm-6pm),Alemania,Rural,42,Allanamiento,6.4,2,Masculino,65+,0,0,274.19,Sin Arma Registrada,Julio,False,False,Media
CRM0000039,2023,2,Martes,Otoño,Madrugada (2am-6am),Francia,Remoto,30,Fraude,5.0,1,Femenino,26-35,0,0,3601.25,Sin Arma Registrada,Febrero,False,True,Media
CRM0000040,2022,11,Martes,Otoño,Noche (10pm-2am),Nigeria,Urbano,3375,Hurto,3.1,1,Masculino,26-35,0,0,439.12,Arma Blanca,Noviembre,False,False,Baja
CRM0000041,2020,9,Martes,Verano,Anochecer (6pm-10pm),Australia,Urbano,1547,Robo,8.1,1,Femenino,36-45,1,0,203.68,Arma Blanca,Septiembre,False,False,Alta
CRM0000042,2022,7,Martes,Verano,Anochecer (6pm-10pm),Pakistán,Suburbano,271,Hurto,4.7,1,Masculino,56-65,0,0,192.52,Sin Arma Registrada,Julio,False,False,Media
CRM0000043,2020,12,Martes,Primavera,Mañana (6am-12pm),India,Urbano,980,Allanamiento,5.0,2,Masculino,18-25,0,0,319.68,Sin Arma Registrada,Diciembre,False,False,Media
CRM0000044,2024,11,Sábado,Otoño,Mañana (6am-12pm),Estados Unidos,Urbano,269,Fraude,4.8,1,Masculino,Menor de 18,0,0,324.64,Objeto Contundente,Noviembre,False,False,Media
